# time,best-fit temperature,best-fit radius,best-fit luminosity
0.000000000000000000e+00 1.000000000000000000e+03 5.506167486363597296e+23 2.171618610817241567e+56
1.250000000000000069e-02 1.213623798344241732e+04 1.309642723137338167e+28 2.665181097315726418e+69
2.500000000000000139e-02 1.545927736419478606e+04 1.762192319024510728e+28 1.270422229456974279e+70
3.749999999999999861e-02 1.611414277253019827e+04 2.131046524993443326e+28 2.193306931811862877e+70
5.000000000000000278e-02 1.600310313738701734e+04 2.452302287578989109e+28 2.825202247246309566e+70
6.250000000000000000e-02 1.567455410205595035e+04 2.730963132650489932e+28 3.224758343503416436e+70
7.499999999999999722e-02 1.524695727017572972e+04 2.995584135827537969e+28 3.473605520713776020e+70
8.750000000000000833e-02 1.483102514336102831e+04 3.232800698043585251e+28 3.621823370731589885e+70
1.000000000000000056e-01 1.442643951218158873e+04 3.457143679802699177e+28 3.708140789614740052e+70
1.125000000000000028e-01 1.413025990599533725e+04 3.620914922618805021e+28 3.743880358334809887e+70
1.250000000000000000e-01 1.374479092677536573e+04 3.840271166511639493e+28 3.770171059118193286e+70
1.375000000000000111e-01 1.346260579298911034e+04 4.002997252077738920e+28 3.770264511245566438e+70
1.499999999999999944e-01 1.309535020482667642e+04 4.234014643350521426e+28 3.776225316942043373e+70
1.625000000000000056e-01 1.282649830528059829e+04 4.406983560345579146e+28 3.765303716828291238e+70
1.750000000000000167e-01 1.265033720395903765e+04 4.515152598485070072e+28 3.739710584864345956e+70
1.875000000000000000e-01 1.239062156947915719e+04 4.698339164107301587e+28 3.726883532521786831e+70
2.000000000000000111e-01 1.213623798344241732e+04 4.889133691897718611e+28 3.714367598414695835e+70
2.124999999999999944e-01 1.196955702359042880e+04 5.009563972663203176e+28 3.689749528620745445e+70
2.250000000000000056e-01 1.180516528568805552e+04 5.133557877005292586e+28 3.666147495842386079e+70
2.375000000000000167e-01 1.164303132920875578e+04 5.261316727518144531e+28 3.643660273445106642e+70
2.500000000000000000e-01 1.148312414543511113e+04 5.392994184398732531e+28 3.622303736514721142e+70
2.625000000000000111e-01 1.132541315152812604e+04 5.528714220410101608e+28 3.602045708420178919e+70
2.750000000000000222e-01 1.116986818467822559e+04 5.668582792899596553e+28 3.582827509741975517e+70
2.875000000000000333e-01 1.101645949633656892e+04 5.812695410424237732e+28 3.564577161867603974e+70
2.999999999999999889e-01 1.086515774652537220e+04 5.961142027231598128e+28 3.547217369098328765e+70
